, Open, High, Low, Close
06/14/23, 4.8631, 4.8670, 4.7968, 4.8147
06/13/23, 4.8639, 4.8783, 4.8481, 4.8622
06/12/23, 4.8820, 4.8990, 4.8614, 4.8646
06/09/23, 4.9239, 4.9271, 4.8566, 4.8820
06/08/23, 4.9255, 4.9255, 4.9212, 4.9240
06/07/23, 4.9132, 4.9311, 4.9000, 4.9264
06/06/23, 4.9312, 4.9557, 4.9005, 4.9121
06/05/23, 4.9593, 4.9696, 4.9123, 4.9315
06/02/23, 5.0145, 5.0152, 4.9458, 4.9573
06/01/23, 5.0547, 5.0586, 5.0053, 5.0132
05/31/23, 5.0377, 5.1229, 5.0344, 5.0548
05/30/23, 5.0175, 5.0695, 5.0011, 5.0362
05/29/23, 4.9942, 5.0210, 4.9739, 5.0178
05/26/23, 5.0370, 5.0373, 4.9794, 4.9937
05/25/23, 4.9615, 5.0434, 4.9556, 5.0373
05/24/23, 4.9705, 4.9765, 4.9364, 4.9618
05/23/23, 4.9672, 4.9940, 4.9509, 4.9711
05/22/23, 5.0000, 5.0052, 4.9534, 4.9662
05/19/23, 4.9653, 5.0031, 4.9477, 5.0005
05/18/23, 4.9399, 4.9814, 4.9361, 4.9656
05/17/23, 4.9402, 4.9706, 4.9228, 4.9379
05/16/23, 4.8907, 4.9535, 4.8865, 4.9404
05/15/23, 4.9218, 4.9333, 4.8859, 4.8912
05/12/23, 4.9314, 4.9561, 4.9081, 4.9218
05/11/23, 4.9444, 4.9844, 4.9259, 4.9327
05/10/23, 4.9859, 4.9915, 4.9371, 4.9439
05/09/23, 5.0108, 5.0370, 4.9730, 4.9853
05/08/23, 4.9531, 5.0186, 4.9441, 5.0105
05/05/23, 4.9838, 5.0007, 4.9260, 4.9519
05/04/23, 4.9960, 5.0340, 4.9702, 4.9835
05/03/23, 5.0376, 5.0517, 4.9822, 4.9962
05/02/23, 4.9894, 5.0531, 4.9867, 5.0377
05/01/23, 4.9868, 4.9894, 4.9867, 4.9894
04/28/23, 4.9771, 5.0164, 4.9766, 4.9882
04/27/23, 5.0438, 5.0481, 4.9702, 4.9767
04/26/23, 5.0517, 5.0738, 5.0368, 5.0449
04/25/23, 5.0367, 5.0831, 5.0311, 5.0511
04/24/23, 5.0489, 5.0854, 5.0356, 5.0369
04/21/23, 5.0499, 5.0507, 5.0468, 5.0496
04/20/23, 5.0749, 5.0848, 5.0362, 5.0506
04/19/23, 4.9850, 5.0889, 4.9849, 5.0741
04/18/23, 4.9433, 4.9970, 4.9169, 4.9843
04/17/23, 4.9097, 4.9569, 4.8989, 4.9440
04/14/23, 4.9281, 4.9641, 4.9036, 4.9080
04/13/23, 4.9186, 4.9406, 4.8955, 4.9128
04/12/23, 5.0065, 5.0097, 4.9170, 4.9183
04/11/23, 5.0671, 5.0691, 4.9893, 5.0060
04/10/23, 5.0559, 5.0904, 5.0457, 5.0668
04/07/23, 5.0579, 5.0603, 5.0559, 5.0559
04/06/23, 5.0342, 5.0831, 5.0319, 5.0574
04/05/23, 5.0729, 5.0773, 5.0325, 5.0339
04/04/23, 5.0634, 5.0994, 5.0507, 5.0724
04/03/23, 5.0633, 5.0825, 5.0387, 5.0644
03/31/23, 5.0935, 5.1020, 5.0553, 5.0640
03/30/23, 5.1338, 5.1566, 5.0782, 5.0938
03/29/23, 5.1665, 5.1838, 5.1267, 5.1353
03/28/23, 5.1983, 5.1993, 5.1494, 5.1670
03/27/23, 5.2463, 5.2496, 5.1939, 5.1979
03/24/23, 5.2980, 5.3413, 5.2391, 5.2463
03/23/23, 5.2377, 5.3011, 5.2054, 5.2981
03/22/23, 5.2430, 5.2788, 5.2049, 5.2385
03/21/23, 5.2374, 5.2536, 5.2283, 5.2434
03/20/23, 5.2794, 5.2836, 5.2318, 5.2379
03/17/23, 5.2303, 5.2844, 5.2293, 5.2794
03/16/23, 5.2880, 5.3107, 5.2248, 5.2304
03/15/23, 5.2543, 5.3270, 5.2499, 5.2877
03/14/23, 5.2466, 5.2610, 5.2228, 5.2541
03/13/23, 5.2171, 5.2827, 5.2137, 5.2463
03/10/23, 5.1652, 5.2210, 5.1550, 5.2170
03/09/23, 5.1455, 5.1702, 5.1111, 5.1651
03/08/23, 5.1910, 5.1943, 5.1001, 5.1456
03/07/23, 5.1541, 5.2045, 5.1515, 5.1914
03/06/23, 5.1957, 5.2168, 5.1519, 5.1540
03/03/23, 5.2008, 5.2295, 5.1862, 5.1957
03/02/23, 5.1797, 5.2277, 5.1777, 5.2010
03/01/23, 5.2376, 5.2389, 5.1747, 5.1796
02/28/23, 5.2003, 5.2446, 5.1797, 5.2371
02/27/23, 5.2105, 5.2128, 5.1710, 5.2014
02/24/23, 5.1384, 5.2142, 5.1350, 5.2105
02/23/23, 5.1530, 5.1742, 5.1107, 5.1385
02/22/23, 5.1680, 5.2120, 5.1527, 5.1529
02/21/23, 5.1673, 5.1697, 5.1655, 5.1679
02/20/23, 5.1680, 5.1886, 5.1666, 5.1676
02/17/23, 5.2180, 5.2441, 5.1525, 5.1680
02/16/23, 5.2197, 5.2578, 5.1976, 5.2181
02/15/23, 5.1928, 5.2391, 5.1676, 5.2196
02/14/23, 5.1597, 5.2162, 5.1286, 5.1927
02/13/23, 5.2156, 5.2237, 5.1572, 5.1601
02/10/23, 5.2911, 5.2994, 5.2101, 5.2165
02/09/23, 5.2014, 5.2922, 5.1811, 5.2916
